Unit,PlantGroup,Specie,Tto,DroughtNum,Sp,Specie_number,tto_number,ST,Pot,PotN,pH,rootN,rootC,leafN,leafC,soilN,soilC,WSA,shootmass,LDMC,SLA,rootmass,diameter,RTD,SRL,SRSA,PathogensOLD,SaprotrophsOLD,MutualistsOLD,MIXOLD,S_Patho,S_Sapro,S_Mutual,PCo1_Patho,PCo2_Patho,PCo1_Sapro,PCo2_Sapro,PCo1_Mutual_EMF,PCo2_Mutual_EMF,PCo1_Mutual,PCo2_Mutual,SpecieY,Pathogens2,Saprotrophs2,Mutualists2,S_ALL,PCo1_ALL_EMF,PCo2_ALL_EMF,PCo1_ALL,PCo2_ALL,Speciex,Ttox,Phylog_1,Phylog_2,Phylog_3,Phylog_4,CP1_leaft,CP2_leaft,CP1_soilprop,CP2_soilprop,CP1_root,CP2_root,ID_phase1
N/C(g),Grasses,G_Anthoxanthum,Control,0,Anthoxanthum,1,500,Anthoxanthum_Control,1m,1,6.56,4.49,286.24,8.56,412.83,0.62,7.29,40.06,4783.1,219.95,265.93,4209.46,0.1,285.85,40.13,1.33,25.19230769,21.08974359,39.03846154,14.67948718,6,15,6,-0.006172101,0.02824652,-0.006403594,0.00176526,0.000281675,0.012598993,0.00023,0.01175,G_Anthoxanthum,5.010198878,4.194288628,7.763895971,109,0.00401,-0.00292,0.00403,-0.003,G_Anthoxanthum,Control,-167.2854506,1.243513554,2.083941834,5.410042374,-0.37,0.3,-0.45,-0.2,2.5,0.07,1
WSA(%),Grasses,G_Anthoxanthum,Control,0,Anthoxanthum,1,500,Anthoxanthum_Control,2m,2,6.7,3.91,303.22,7.37,409.82,0.66,7.08,76,4591.9,257.89,257.23,3812.18,0.13,253.85,32.22,1.26,25.38167939,22.5826972,29.13486005,22.90076336,7,15,6,-0.003343032,0.024207521,-0.003958809,-1.73E-05,-0.000102447,0.015343238,-0.00018,0.01469,G_Anthoxanthum,5.060240964,4.502219404,5.808497146,110,0.00161,-0.00232,0.00161,-0.00241,G_Anthoxanthum,Control,-167.2854506,1.243513554,2.083941834,5.410042374,-0.52,0.28,-0.5,1.67,2.27,0.01,2
S_all (Including Not asigned),Grasses,G_Anthoxanthum,Control,0,Anthoxanthum,1,500,Anthoxanthum_Control,3m,3,6.8,3.64,423.63,8.32,427.83,0.64,7.1,41.49,4501.7,241.55,433.8,7300.8,0.12,255.78,35.82,1.33,24.45730825,22.50361795,27.27930535,25.75976845,7,10,6,-0.009113786,0.028496261,-0.013160182,0.000822772,0.002433846,0.017539786,0.00251,0.0171,G_Anthoxanthum,4.284446698,3.942197997,4.778805932,111,0.00385,-0.00064,0.00387,-0.0007,G_Anthoxanthum,Control,-167.2854506,1.243513554,2.083941834,5.410042374,-0.27,0.07,-0.44,0.6,2.39,1.05,3
"S_Total_Only those that were assigned
 as patho, sapro, mutual or MIX",Grasses,G_Anthoxanthum,Control,0,Anthoxanthum,1,500,Anthoxanthum_Control,4m,4,6.68,9.53,600.67,11.98,397.09,0.73,8.04,61.76,4294.8,220.39,298.92,1936.567,0.14,242.2,27.42,1.19,22.63056093,49.6131528,15.86073501,11.89555126,7,15,6,-9.27E-05,0.014346212,0.001831027,0.002593955,0.000229841,0.01731791,0.00017,0.01677,G_Anthoxanthum,2.932698333,6.429377115,2.055395413,113,-0.00015,-0.00297,-0.00016,-0.00304,G_Anthoxanthum,Control,-167.2854506,1.243513554,2.083941834,5.410042374,-0.41,0.27,0.13,1.06,0.57,-0.7,4
,Grasses,G_Anthoxanthum,Control,0,Anthoxanthum,1,500,Anthoxanthum_Control,5m,5,6.7,6.09,363.7,11.47,388.43,0.67,7.2,47.88,4285.4,232.83,271.66,3457.88,0.12,297.42,31.97,1.16,10.25017373,43.81514941,4.343293954,41.5913829,10,32,5,0.004519034,0.005060723,-0.0213388,-0.000869378,0.000284503,0.025672336,0.00025,0.02565,G_Anthoxanthum,3.75461372,16.04938272,1.590938017,146,0.0019,0.00448,0.0019,0.00448,G_Anthoxanthum,Control,-167.2854506,1.243513554,2.083941834,5.410042374,-0.55,0.36,-0.32,0.55,1.74,-0.1,5
"Pathogens2_ He dejado los 
que al menos tienen PHYLA",Grasses,G_Anthoxanthum,Drought,1,Anthoxanthum,1,1000,Anthoxanthum_Drought,6m,6,6.86,4.72,367.24,5.04,422.26,0.68,7.89,21.81,5299.2,254.66,207.45,2765,0.21,109.89,25.21,1.7,20.98075729,24.82929857,26.31905649,27.87088765,6,11,5,0.006624849,0.034425487,-0.010999407,-0.000290396,0.002163776,0.019015968,0.00224,0.01872,G_Anthoxanthum,4.741863075,5.611672278,5.948372615,87,0.00256,-0.00294,0.00257,-0.00302,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,-0.41,0.4,0.04,0.01,2.39,-0.57,6
"Phylo_1 etc los he extraido del exper
root traits drought.",Grasses,G_Anthoxanthum,Drought,1,Anthoxanthum,1,1000,Anthoxanthum_Drought,7m,7,6.76,4.04,438.71,4.62,357.71,0.7,7.3,78.47,3711.1,303.07,167.65,6133.887,0.2,126.69,26.55,1.62,23.06122449,17.04081633,44.08163265,15.81632653,7,7,5,0.006511493,0.027534361,-0.006092089,-0.001201371,-0.000184702,0.018871613,-0.00027,0.0185,G_Anthoxanthum,3.912742382,2.891274238,7.479224377,76,0.00356,0.00105,0.00357,0.00099,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,-1.43,0.57,-0.28,1.96,2.46,0.51,7
"PCoA1,2(de las ESV)",Grasses,G_Anthoxanthum,Drought,1,Anthoxanthum,1,1000,Anthoxanthum_Drought,8m,8,6.8,4.24,280.94,3.69,283.06,0.65,7.27,32.65,4181.6,316.64,209.89,3478.067,0.16,199.45,24.68,1.25,24.40944882,26.19899785,31.63922691,17.75232641,8,14,7,-0.003150758,0.026199749,-0.017970436,-0.006298764,-0.001775257,-0.019929818,-0.00188,-0.02294,G_Anthoxanthum,4.352821037,4.671942813,5.642073015,107,0.00299,-0.00668,0.00304,-0.00678,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,-2.26,1.48,-0.32,0.24,2.24,-0.16,8
"CP1_soilprop (pH, soilC, soilN, WSA)",Grasses,G_Anthoxanthum,Drought,1,Anthoxanthum,1,1000,Anthoxanthum_Drought,9m,9,6.63,20.06,366.82,5,414.42,0.7,7.77,33.92,4175.6,328.33,200.74,945.48,0.13,253.98,31.14,1.24,15.02946955,44.15520629,20.38310413,20.43222004,6,14,6,-0.007068922,0.017554817,-0.017800103,-0.003892787,-0.000277599,0.009903307,-0.00036,0.0088,G_Anthoxanthum,3.92508979,11.53155464,5.323242689,92,0.00294,-0.00605,0.00295,-0.00615,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,-0.68,0.14,0.03,-0.21,0.8,-1.76,9
"CP1_leaft( leafC, leaf N, shoot mass) LDMC and SLA were NOT included (problem in the varp part)",Grasses,G_Anthoxanthum,Drought,1,Anthoxanthum,1,1000,Anthoxanthum_Drought,10m,10,6.8,13.8,405.02,5.01,401.24,0.69,8.13,20.81,4325.1,285.71,193.02,3881.78,0.12,250,33.06,1.29,23.63636364,41.7630854,17.63085399,16.96969697,7,26,6,0.005841391,0.033579091,-0.009270618,0.015508573,0.005206091,0.020585246,0.00547,0.02035,G_Anthoxanthum,5.59979115,9.894269678,4.177000392,145,0.00418,0.00248,0.00419,0.00244,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,-0.81,0.31,0.16,-0.21,1.45,-0.55,10
